Genes,pathway
accD,superpathway of fatty acid biosynthesis initiation (E. coli)
usg,superpathway of fatty acid biosynthesis initiation (E. coli)
accD,biotin-carboxyl carrier protein assembly
usg,biotin-carboxyl carrier protein assembly
accD,fatty acid biosynthesis initiation (bacteria and plants)
usg,fatty acid biosynthesis initiation (bacteria and plants)
fabD,superpathway of fatty acid biosynthesis I (E. coli)
fabD,superpathway of fatty acid biosynthesis initiation (E. coli)
fabD,fatty acid biosynthesis initiation (bacteria and plants)
ribC,flavin biosynthesis I (bacteria and plants)
ribE,flavin biosynthesis I (bacteria and plants)
ribF,flavin biosynthesis I (bacteria and plants)
ribA,flavin biosynthesis I (bacteria and plants)
yigB,flavin biosynthesis I (bacteria and plants)
ribC,flavin biosynthesis I (bacteria and plants)
ribE,flavin biosynthesis I (bacteria and plants)
ribD,flavin biosynthesis I (bacteria and plants)
ybaE,flavin biosynthesis I (bacteria and plants)
ribB,flavin biosynthesis I (bacteria and plants)
ybjI,flavin biosynthesis I (bacteria and plants)
thiE,superpathway of thiamine diphosphate biosynthesis I
thiE,thiamine diphosphate biosynthesis I (E. coli)
thiE,thiamine diphosphate salvage II
thiD,superpathway of thiamine diphosphate biosynthesis I
thiD,thiamine diphosphate salvage II
thiD,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I
thiD,hydroxymethylpyrimidine salvage
thiI,superpathway of thiamine diphosphate biosynthesis I
thiI,thiazole component of thiamne diphosphate biosynthesis
thiS,thiazole component of thiamne diphosphate biosynthesis
thiF,superpathway of thiamine diphosphate biosynthesis I
thiF,thiazole component of thiamne diphosphate biosynthesis
thiM,thiamine diphosphate salvage II
thiM,prenylated FMNH<sub>2</sub> biosynthesis
thiL,superpathway of thiamine diphosphate biosynthesis I
thiL,thiamine diphosphate biosynthesis I (E. coli)
thiL,thiamine diphosphate salvage II
thiG,superpathway of thiamine diphosphate biosynthesis I
thiG,thiazole component of thiamne diphosphate biosynthesis
thiC,superpathway of thiamine diphosphate biosynthesis I
thiC,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I
thiH,superpathway of thiamine diphosphate biosynthesis I
thiH,thiazole component of thiamne diphosphate biosynthesis
nadE,aspartate superpathway
nadE,NAD de novo biosynthesis I (from aspartate)
nadE,NAD salvage pathway I (PNC VI cycle)
nadE,NAD salvage pathway II (PNC IV cycle)
ygaD,NAD salvage pathway II (PNC IV cycle)
rffG,enterobacterial common antigen biosynthesis
rffG,dTDP-N-acetylthomosamine biosynthesis
pncB,NAD salvage pathway I (PNC VI cycle)
nadA,aspartate superpathway
nadA,NAD de novo biosynthesis I (from aspartate)
rfbB,O-antigen building blocks biosynthesis (E. coli)
rfbB,dTDP-L-rhamnose biosynthesis
rfbB,dTDP-N-acetylthomosamine biosynthesis
nadC,aspartate superpathway
nadC,NAD de novo biosynthesis I (from aspartate)
pncA,NAD salvage pathway I (PNC VI cycle)
nadB,aspartate superpathway
nadB,NAD de novo biosynthesis I (from aspartate)
nadD,aspartate superpathway
nadD,NAD de novo biosynthesis I (from aspartate)
nadD,NAD salvage pathway I (PNC VI cycle)
nadD,NAD salvage pathway II (PNC IV cycle)
gmd,colanic acid building blocks biosynthesis
gmd,GDP-L-fucose biosynthesis I (from GDP-D-mannose)
pdxH,pyridoxal 5'-phosphate biosynthesis I
pdxH,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
pdxH,pyridoxal 5'-phosphate salvage I
pdxA,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
pdxA,pyridoxal 5'-phosphate biosynthesis I
pdxB,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
pdxB,pyridoxal 5'-phosphate biosynthesis I
pdxJ,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
pdxJ,pyridoxal 5'-phosphate biosynthesis I
coaD,superpathway of coenzyme A biosynthesis I (bacteria)
coaD,coenzyme A biosynthesis I (prokaryotic)
coaE,superpathway of coenzyme A biosynthesis I (bacteria)
coaE,coenzyme A biosynthesis I (prokaryotic)
panB,superpathway of coenzyme A biosynthesis I (bacteria)
panB,phosphopantothenate biosynthesis I
panE,superpathway of coenzyme A biosynthesis I (bacteria)
panE,phosphopantothenate biosynthesis I
panC,superpathway of coenzyme A biosynthesis I (bacteria)
panC,phosphopantothenate biosynthesis I
coaA,superpathway of coenzyme A biosynthesis I (bacteria)
coaA,phosphopantothenate biosynthesis I
dfp,superpathway of coenzyme A biosynthesis I (bacteria)
dfp,coenzyme A biosynthesis I (prokaryotic)
panD,superpathway of coenzyme A biosynthesis I (bacteria)
panD,&beta;-alanine biosynthesis III
mog,molybdenum cofactor biosynthesis
moaE,molybdenum cofactor biosynthesis
moaA,molybdenum cofactor biosynthesis
moeA,molybdenum cofactor biosynthesis
ygfJ,cytidylyl molybdenum cofactor biosynthesis
yhhP,tRNA-uridine 2-thiolation and selenation (bacteria)
moaC,molybdenum cofactor biosynthesis
moeB,molybdenum cofactor biosynthesis
mobA,guanylyl molybdenum cofactor biosynthesis
mobA,bis(guanylyl molybdenum cofactor) biosynthesis
moaD,molybdenum cofactor biosynthesis
lipA,lipoate biosynthesis and incorporation II
lipA,lipoate biosynthesis and incorporation I
lipB,lipoate biosynthesis and incorporation I
lplA,lipoate salvage I
lplA,lipoate biosynthesis and incorporation II
folD,folate transformations III (E. coli)
folB,superpathway of chorismate metabolism
folB,superpathway of tetrahydrofolate biosynthesis
folB,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
folK,superpathway of chorismate metabolism
folK,superpathway of tetrahydrofolate biosynthesis
folK,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
pabA,superpathway of chorismate metabolism
pabA,superpathway of tetrahydrofolate biosynthesis
pabA,4-aminobenzoate biosynthesis
folA,superpathway of chorismate metabolism
folA,superpathway of tetrahydrofolate biosynthesis
folA,tetrahydrofolate biosynthesis
folA,folate transformations III (E. coli)
folP,superpathway of chorismate metabolism
folP,superpathway of tetrahydrofolate biosynthesis
folP,tetrahydrofolate biosynthesis
folE,tetrahydromonapterin biosynthesis
pabB,superpathway of chorismate metabolism
pabB,superpathway of tetrahydrofolate biosynthesis
pabB,4-aminobenzoate biosynthesis
folC,folate polyglutamylation
folC,superpathway of chorismate metabolism
folC,superpathway of tetrahydrofolate biosynthesis
folC,tetrahydrofolate biosynthesis
folM,tetrahydromonapterin biosynthesis
folM,superpathway of chorismate metabolism
folM,superpathway of tetrahydrofolate biosynthesis
folM,tetrahydrofolate biosynthesis
folM,folate transformations III (E. coli)
pabC,superpathway of chorismate metabolism
pabC,superpathway of tetrahydrofolate biosynthesis
pabC,4-aminobenzoate biosynthesis
nudB,superpathway of chorismate metabolism
nudB,superpathway of tetrahydrofolate biosynthesis
nudB,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
entD,superpathway of chorismate metabolism
entD,enterobactin biosynthesis
entA,superpathway of chorismate metabolism
entA,enterobactin biosynthesis
entA,"2,3-dihydroxybenzoate biosynthesis"
entE,superpathway of chorismate metabolism
entE,enterobactin biosynthesis
entB,superpathway of chorismate metabolism
entB,"2,3-dihydroxybenzoate biosynthesis"
entB,CDP-diacylglycerol biosynthesis II
entB,enterobactin biosynthesis
entB,acyl carrier protein metabolism
entF,superpathway of chorismate metabolism
entF,acyl carrier protein metabolism
entF,enterobactin biosynthesis
entC,superpathway of chorismate metabolism
entC,enterobactin biosynthesis
entC,"2,3-dihydroxybenzoate biosynthesis"
cobT,superpathway of adenosylcobalamin salvage from cobinamide I
cobT,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
cobU,superpathway of adenosylcobalamin salvage from cobinamide I
cobU,adenosylcobinamide-GDP salvage from cobinamide I
btuR,superpathway of adenosylcobalamin salvage from cobinamide I
btuR,adenosylcobinamide-GDP salvage from cobinamide I
btuR,adenosylcobalamin salvage from cobalamin
cobC,superpathway of adenosylcobalamin salvage from cobinamide I
cobC,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
cobS,superpathway of adenosylcobalamin salvage from cobinamide I
cobS,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
hemE,superpathway of heme b biosynthesis from uroporphyrinogen-III
hemE,heme b biosynthesis I (aerobic)
hemE,heme b biosynthesis II (oxygen-independent)
hemH,superpathway of heme b biosynthesis from uroporphyrinogen-III
hemH,heme b biosynthesis I (aerobic)
hemH,heme b biosynthesis II (oxygen-independent)
hemB,tetrapyrrole biosynthesis I (from glutamate)
cysG,siroheme biosynthesis
hemF,heme b biosynthesis I (aerobic)
hemF,superpathway of heme b biosynthesis from uroporphyrinogen-III
hemL,tetrapyrrole biosynthesis I (from glutamate)
gltX,tetrapyrrole biosynthesis I (from glutamate)
gltX,tRNA charging
hemN,superpathway of heme b biosynthesis from uroporphyrinogen-III
hemN,heme b biosynthesis II (oxygen-independent)
hemG,heme b biosynthesis I (aerobic)
hemG,superpathway of heme b biosynthesis from uroporphyrinogen-III
hemG,heme b biosynthesis II (oxygen-independent)
hemD,tetrapyrrole biosynthesis I (from glutamate)
hemA,tetrapyrrole biosynthesis I (from glutamate)
ispG,methylerythritol phosphate pathway I
ubiD,superpathway of chorismate metabolism
ubiD,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
ubiD,ubiquinol-8 biosynthesis (prokaryotic)
ydiI,superpathway of menaquinol-8 biosynthesis I
ydiI,superpathway of chorismate metabolism
ydiI,"2-carboxy-1,4-naphthoquinol biosynthesis"
dxr,methylerythritol phosphate pathway I
ispE,methylerythritol phosphate pathway I
ispA,polyisoprenoid biosynthesis (E. coli)
ispA,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
ispA,superpathway of chorismate metabolism
ispA,"trans, trans-farnesyl diphosphate biosynthesis"
ispD,methylerythritol phosphate pathway I
ubiC,superpathway of chorismate metabolism
ubiC,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
ubiC,4-hydroxybenzoate biosynthesis II (bacteria)
dxs,superpathway of thiamine diphosphate biosynthesis I
dxs,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
dxs,thiazole component of thiamne diphosphate biosynthesis
dxs,methylerythritol phosphate pathway I
dxs,pyridoxal 5'-phosphate biosynthesis I
ispH,methylerythritol phosphate pathway I
ispF,methylerythritol phosphate pathway I
ispB,superpathway of chorismate metabolism
ispB,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
ispB,polyisoprenoid biosynthesis (E. coli)
ispB,superpathway of menaquinol-8 biosynthesis I
ispB,octaprenyl diphosphate biosynthesis
idi,polyisoprenoid biosynthesis (E. coli)
idi,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
idi,superpathway of chorismate metabolism
idi,"trans, trans-farnesyl diphosphate biosynthesis"
idi,methylerythritol phosphate pathway I
ubiF,superpathway of chorismate metabolism
ubiF,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
ubiF,ubiquinol-8 biosynthesis (prokaryotic)
visC,superpathway of chorismate metabolism
visC,superpathway of ubiquinol-8 biosynthesis (prokaryotic)
visC,ubiquinol-8 biosynthesis (prokaryotic)
yfbB,superpathway of menaquinol-8 biosynthesis I
yfbB,superpathway of chorismate metabolism
yfbB,"2-carboxy-1,4-naphthoquinol biosynthesis"
gshA,glutathione biosynthesis
gshB,glutathione biosynthesis
bioF,biotin biosynthesis I
bioF,8-amino-7-oxononanoate biosynthesis I
bioB,biotin biosynthesis I
bioB,biotin biosynthesis from 8-amino-7-oxononanoate I
bioH,biotin biosynthesis I
bioB,biotin biosynthesis I
bioH,8-amino-7-oxononanoate biosynthesis I
bioB,8-amino-7-oxononanoate biosynthesis I
bioC,biotin biosynthesis I
bioC,8-amino-7-oxononanoate biosynthesis I
birA,biotin-carboxyl carrier protein assembly
bioA,biotin biosynthesis I
bioA,biotin biosynthesis from 8-amino-7-oxononanoate I
cmk,superpathway of pyrimidine ribonucleosides salvage
cmk,salvage pathways of pyrimidine ribonucleotides
cmk,CMP phosphorylation
cmk,pyrimidine deoxyribonucleotide phosphorylation
pyrB,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
pyrB,"superpathway of histidine, purine, and pyrimidine biosynthesis"
pyrB,superpathway of pyrimidine ribonucleotides de novo biosynthesis
pyrB,UMP biosynthesis I
pyrG,L-glutamine degradation I
pyrG,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
pyrG,"superpathway of histidine, purine, and pyrimidine biosynthesis"
pyrG,superpathway of pyrimidine ribonucleotides de novo biosynthesis
pyrG,superpathway of pyrimidine ribonucleosides salvage
pyrG,superpathway of pyrimidine nucleobases salvage
pyrG,UTP and CTP de novo biosynthesis
prsA,"superpathway of histidine, purine, and pyrimidine biosynthesis"
prsA,PRPP biosynthesis
gmk,"superpathway of histidine, purine, and pyrimidine biosynthesis"
gmk,superpathway of purine nucleotides de novo biosynthesis II
gmk,superpathway of guanosine nucleotides de novo biosynthesis II
gmk,guanosine ribonucleotides de novo biosynthesis
adk,superpathway of adenosine nucleotides de novo biosynthesis II
adk,adenosine ribonucleotides de novo biosynthesis
adk,superpathway of pyrimidine ribonucleotides de novo biosynthesis
adk,superpathway of pyrimidine nucleobases salvage
adk,UTP and CTP de novo biosynthesis
adk,superpathway of pyrimidine ribonucleosides salvage
adk,salvage pathways of pyrimidine ribonucleotides
adk,CMP phosphorylation
adk,ppGpp metabolism
adk,guanosine ribonucleotides de novo biosynthesis
adk,"superpathway of histidine, purine, and pyrimidine biosynthesis"
adk,superpathway of purine nucleotides de novo biosynthesis II
adk,superpathway of guanosine nucleotides de novo biosynthesis II
adk,guanosine deoxyribonucleotides de novo biosynthesis II
adk,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
adk,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
adk,pyrimidine deoxyribonucleotides de novo biosynthesis I
adk,pyrimidine deoxyribonucleotide phosphorylation
adk,pyrimidine deoxyribonucleotides de novo biosynthesis II
ndk,superpathway of pyrimidine ribonucleotides de novo biosynthesis
ndk,superpathway of pyrimidine nucleobases salvage
ndk,UTP and CTP de novo biosynthesis
ndk,superpathway of pyrimidine ribonucleosides salvage
ndk,salvage pathways of pyrimidine ribonucleotides
ndk,CMP phosphorylation
ndk,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
ndk,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
ndk,pyrimidine deoxyribonucleotides de novo biosynthesis I
ndk,pyrimidine deoxyribonucleotide phosphorylation
ndk,pyrimidine deoxyribonucleotides de novo biosynthesis II
ndk,superpathway of adenosine nucleotides de novo biosynthesis II
ndk,adenosine deoxyribonucleotides de novo biosynthesis II
ndk,guanosine deoxyribonucleotides de novo biosynthesis II
ndk,"superpathway of histidine, purine, and pyrimidine biosynthesis"
ndk,superpathway of purine nucleotides de novo biosynthesis II
ndk,superpathway of guanosine nucleotides de novo biosynthesis II
ndk,ppGpp metabolism
ndk,guanosine ribonucleotides de novo biosynthesis
pyrI,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
pyrI,"superpathway of histidine, purine, and pyrimidine biosynthesis"
pyrI,superpathway of pyrimidine ribonucleotides de novo biosynthesis
pyrI,UMP biosynthesis I
pyrD,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
pyrD,"superpathway of histidine, purine, and pyrimidine biosynthesis"
pyrD,superpathway of pyrimidine ribonucleotides de novo biosynthesis
pyrD,UMP biosynthesis I
pyrE,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
pyrE,"superpathway of histidine, purine, and pyrimidine biosynthesis"
pyrE,superpathway of pyrimidine ribonucleotides de novo biosynthesis
pyrE,UMP biosynthesis I
yeiC,pseudouridine degradation
pyrF,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
pyrF,"superpathway of histidine, purine, and pyrimidine biosynthesis"
pyrF,superpathway of pyrimidine ribonucleotides de novo biosynthesis
pyrF,UMP biosynthesis I
pyrC,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
pyrC,"superpathway of histidine, purine, and pyrimidine biosynthesis"
pyrC,superpathway of pyrimidine ribonucleotides de novo biosynthesis
pyrC,UMP biosynthesis I
purF,superpathway of 5-aminoimidazole ribonucleotide biosynthesis
purF,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purF,superpathway of purine nucleotides de novo biosynthesis II
purF,5-aminoimidazole ribonucleotide biosynthesis I
purF,5-aminoimidazole ribonucleotide biosynthesis II
purC,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purC,superpathway of purine nucleotides de novo biosynthesis II
purC,inosine-5'-phosphate biosynthesis I
guaA,L-glutamine degradation I
guaA,"superpathway of histidine, purine, and pyrimidine biosynthesis"
guaA,superpathway of purine nucleotides de novo biosynthesis II
guaA,superpathway of guanosine nucleotides de novo biosynthesis II
guaA,guanosine ribonucleotides de novo biosynthesis
purB,superpathway of adenosine nucleotides de novo biosynthesis II
purB,adenosine ribonucleotides de novo biosynthesis
purB,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purB,superpathway of purine nucleotides de novo biosynthesis II
purB,inosine-5'-phosphate biosynthesis I
purM,superpathway of 5-aminoimidazole ribonucleotide biosynthesis
purM,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purM,superpathway of purine nucleotides de novo biosynthesis II
purM,5-aminoimidazole ribonucleotide biosynthesis I
purM,5-aminoimidazole ribonucleotide biosynthesis II
purH,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purH,superpathway of purine nucleotides de novo biosynthesis II
purH,inosine-5'-phosphate biosynthesis I
purD,superpathway of 5-aminoimidazole ribonucleotide biosynthesis
purD,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purD,superpathway of purine nucleotides de novo biosynthesis II
purD,5-aminoimidazole ribonucleotide biosynthesis I
purD,5-aminoimidazole ribonucleotide biosynthesis II
guaB,"superpathway of histidine, purine, and pyrimidine biosynthesis"
guaB,superpathway of purine nucleotides de novo biosynthesis II
guaB,superpathway of guanosine nucleotides de novo biosynthesis II
guaB,guanosine ribonucleotides de novo biosynthesis
purT,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purT,superpathway of purine nucleotides de novo biosynthesis II
purT,superpathway of 5-aminoimidazole ribonucleotide biosynthesis
purT,5-aminoimidazole ribonucleotide biosynthesis II
purT,ethanolamine utilization
purN,superpathway of 5-aminoimidazole ribonucleotide biosynthesis
purN,5-aminoimidazole ribonucleotide biosynthesis I
purK,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purK,superpathway of purine nucleotides de novo biosynthesis II
purK,inosine-5'-phosphate biosynthesis I
purE,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purE,superpathway of purine nucleotides de novo biosynthesis II
purE,inosine-5'-phosphate biosynthesis I
purA,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purA,superpathway of purine nucleotides de novo biosynthesis II
purA,superpathway of adenosine nucleotides de novo biosynthesis II
purA,adenosine ribonucleotides de novo biosynthesis
purL,superpathway of 5-aminoimidazole ribonucleotide biosynthesis
purL,"superpathway of histidine, purine, and pyrimidine biosynthesis"
purL,superpathway of purine nucleotides de novo biosynthesis II
purL,5-aminoimidazole ribonucleotide biosynthesis I
purL,5-aminoimidazole ribonucleotide biosynthesis II
metC,superpathway of S-adenosyl-L-methionine biosynthesis
metC,superpathway of L-homoserine and L-methionine biosynthesis
metC,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
metC,aspartate superpathway
metC,L-methionine biosynthesis I
metC,L-cysteine degradation II
metC,L-alanine degradation I
metC,alanine racemization
metE,superpathway of S-adenosyl-L-methionine biosynthesis
metE,superpathway of L-homoserine and L-methionine biosynthesis
metE,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
metE,aspartate superpathway
metE,S-adenosyl-L-methionine cycle I
metE,L-methionine biosynthesis I
metA,superpathway of S-adenosyl-L-methionine biosynthesis
metA,superpathway of L-homoserine and L-methionine biosynthesis
metA,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
metA,aspartate superpathway
metA,L-methionine biosynthesis I
metH,S-adenosyl-L-methionine cycle I
metH,superpathway of S-adenosyl-L-methionine biosynthesis
metH,superpathway of L-homoserine and L-methionine biosynthesis
metH,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
metH,aspartate superpathway
metH,folate transformations III (E. coli)
metH,L-methionine biosynthesis I
thrB,aspartate superpathway
thrB,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
thrB,superpathway of L-threonine biosynthesis
thrB,L-threonine biosynthesis
thrC,aspartate superpathway
thrC,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
thrC,superpathway of L-threonine biosynthesis
thrC,L-threonine biosynthesis
dapF,aspartate superpathway
dapF,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
dapF,L-lysine biosynthesis I
dapB,aspartate superpathway
dapB,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
dapB,L-lysine biosynthesis I
lysA,aspartate superpathway
lysA,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
lysA,L-lysine biosynthesis I
dapD,aspartate superpathway
dapD,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
dapD,L-lysine biosynthesis I
dapE,aspartate superpathway
dapE,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
dapE,L-lysine biosynthesis I
dapA,aspartate superpathway
dapA,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
dapA,L-lysine biosynthesis I
asnA,superpathway of L-asparagine biosynthesis
asnA,superpathway of L-aspartate and L-asparagine biosynthesis
asnA,L-asparagine biosynthesis II
aspA,superpathway of L-aspartate and L-asparagine biosynthesis
aspA,L-glutamate degradation II
proA,L-proline biosynthesis I (from L-glutamate)
ampH,peptidoglycan maturation (meso-diaminopimelate containing)
proB,L-proline biosynthesis I (from L-glutamate)
proC,L-proline biosynthesis I (from L-glutamate)
argH,superpathway of arginine and polyamine biosynthesis
argH,L-arginine biosynthesis I (via L-ornithine)
argG,superpathway of arginine and polyamine biosynthesis
argG,L-arginine biosynthesis I (via L-ornithine)
argC,superpathway of arginine and polyamine biosynthesis
argC,L-arginine biosynthesis I (via L-ornithine)
argC,L-ornithine biosynthesis I
argE,superpathway of arginine and polyamine biosynthesis
argE,L-arginine biosynthesis I (via L-ornithine)
argE,L-ornithine biosynthesis I
yeiG,formaldehyde oxidation II (glutathione-dependent)
yeiG,superpathway of methylglyoxal degradation
yeiG,methylglyoxal degradation I
carA,L-glutamine degradation I
carA,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
carA,"superpathway of histidine, purine, and pyrimidine biosynthesis"
carA,superpathway of pyrimidine ribonucleotides de novo biosynthesis
carA,superpathway of arginine and polyamine biosynthesis
carA,UMP biosynthesis I
carA,L-arginine biosynthesis I (via L-ornithine)
frmB,formaldehyde oxidation II (glutathione-dependent)
argI,superpathway of arginine and polyamine biosynthesis
argI,L-arginine biosynthesis I (via L-ornithine)
argD,superpathway of arginine and polyamine biosynthesis
argD,L-arginine biosynthesis I (via L-ornithine)
argD,L-ornithine biosynthesis I
argD,aspartate superpathway
argD,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
argD,L-lysine biosynthesis I
argA,superpathway of arginine and polyamine biosynthesis
argA,L-arginine biosynthesis I (via L-ornithine)
argA,L-ornithine biosynthesis I
katE,superoxide radicals degradation
sodC,superoxide radicals degradation
carB,L-glutamine degradation I
carB,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
carB,"superpathway of histidine, purine, and pyrimidine biosynthesis"
carB,superpathway of pyrimidine ribonucleotides de novo biosynthesis
carB,superpathway of arginine and polyamine biosynthesis
carB,UMP biosynthesis I
carB,L-arginine biosynthesis I (via L-ornithine)
argF,superpathway of arginine and polyamine biosynthesis
argF,L-arginine biosynthesis I (via L-ornithine)
argB,superpathway of arginine and polyamine biosynthesis
argB,L-arginine biosynthesis I (via L-ornithine)
argB,L-ornithine biosynthesis I
thrA,superpathway of S-adenosyl-L-methionine biosynthesis
thrA,superpathway of L-threonine biosynthesis
thrA,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
thrA,aspartate superpathway
thrA,L-homoserine biosynthesis
asd,superpathway of S-adenosyl-L-methionine biosynthesis
asd,superpathway of L-homoserine and L-methionine biosynthesis
asd,superpathway of L-threonine biosynthesis
asd,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
asd,aspartate superpathway
asd,L-homoserine biosynthesis
asd,L-lysine biosynthesis I
lysC,superpathway of S-adenosyl-L-methionine biosynthesis
lysC,superpathway of L-threonine biosynthesis
lysC,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
lysC,aspartate superpathway
lysC,L-homoserine biosynthesis
lysC,L-lysine biosynthesis I
sodA,superoxide radicals degradation
metL,superpathway of S-adenosyl-L-methionine biosynthesis
metL,superpathway of L-homoserine and L-methionine biosynthesis
metL,superpathway of L-threonine biosynthesis
metL,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
metL,aspartate superpathway
metL,L-homoserine biosynthesis
katG,superoxide radicals degradation
aroD,superpathway of chorismate metabolism
aroD,superpathway of aromatic amino acid biosynthesis
aroD,chorismate biosynthesis I
aroD,chorismate biosynthesis from 3-dehydroquinate
aroA,superpathway of chorismate metabolism
aroA,superpathway of aromatic amino acid biosynthesis
aroA,chorismate biosynthesis I
aroA,chorismate biosynthesis from 3-dehydroquinate
aroL,superpathway of chorismate metabolism
aroL,superpathway of aromatic amino acid biosynthesis
aroL,chorismate biosynthesis I
aroL,chorismate biosynthesis from 3-dehydroquinate
aroE,superpathway of chorismate metabolism
aroE,superpathway of aromatic amino acid biosynthesis
aroE,chorismate biosynthesis I
aroE,chorismate biosynthesis from 3-dehydroquinate
yghZ,superpathway of methylglyoxal degradation
yghZ,methylglyoxal degradation III
aroB,superpathway of chorismate metabolism
aroB,superpathway of aromatic amino acid biosynthesis
aroB,chorismate biosynthesis I
aroB,3-dehydroquinate biosynthesis I
sodB,superoxide radicals degradation
aroF,superpathway of chorismate metabolism
aroF,superpathway of aromatic amino acid biosynthesis
aroF,chorismate biosynthesis I
aroF,3-dehydroquinate biosynthesis I
aroC,superpathway of chorismate metabolism
aroC,superpathway of aromatic amino acid biosynthesis
aroC,chorismate biosynthesis I
aroC,chorismate biosynthesis from 3-dehydroquinate
glnG,"NtrBC Two-Component Signal Transduction System, nitrogen-dependent"
glnG,Nitrogen Regulation Two-Component System
glnA,ammonia assimilation cycle III
glnA,L-glutamine biosynthesis I
glnA,Nitrogen Regulation Two-Component System
arsC,arsenate detoxification II (glutaredoxin)
glnD,Nitrogen Regulation Two-Component System
glnL,Nitrogen Regulation Two-Component System
glnL,"NtrBC Two-Component Signal Transduction System, nitrogen-dependent"
glnB,Nitrogen Regulation Two-Component System
mazG,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
mazG,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
mazG,pyrimidine deoxyribonucleotides de novo biosynthesis I
mazG,pyrimidine deoxyribonucleotides dephosphorylation
mazG,pyrimidine deoxyribonucleotides de novo biosynthesis II
leuC,superpathway of branched chain amino acid biosynthesis
leuC,L-leucine biosynthesis
leuA,superpathway of branched chain amino acid biosynthesis
leuA,L-leucine biosynthesis
leuB,superpathway of branched chain amino acid biosynthesis
leuB,L-leucine biosynthesis
leuD,superpathway of branched chain amino acid biosynthesis
leuD,L-leucine biosynthesis
ilvM,superpathway of L-threonine metabolism
ilvM,L-isoleucine biosynthesis I (from threonine)
ilvM,superpathway of branched chain amino acid biosynthesis
ilvM,L-valine biosynthesis
ilvB,superpathway of branched chain amino acid biosynthesis
ilvB,L-valine biosynthesis
ilvN,superpathway of branched chain amino acid biosynthesis
